source_id,mapping_form,scenario_count,choice_list_count,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:80395,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80399,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80412,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80413,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80421,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80422,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80423,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80424,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80426,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80429,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80432,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80433,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80440,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80441,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80442,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80444,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80446,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80449,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80462,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80463,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80465,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80470,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80473,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80474,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80479,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80482,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80483,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80485,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80490,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80493,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80494,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80495,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80499,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80600,COMBINATION_WITH_ALTERNATIVES,4,8,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80601,COMBINATION_WITH_ALTERNATIVES,4,8,False,True,3
track_a_v1.0:ICD9CM_TO_ICD10CM:80602,COMBINATION_WITH_ALTERNATIVES,4,8,False,True,3
track_a_v1.0:ICD9CM_TO_ICD10CM:80603,COMBINATION_WITH_ALTERNATIVES,4,8,False,True,2
track_a_v1.0:ICD9CM_TO_ICD10CM:80605,COMBINATION_WITH_ALTERNATIVES,3,6,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80608,COMBINATION_WITH_ALTERNATIVES,3,6,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80609,COMBINATION_WITH_ALTERNATIVES,3,6,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80610,COMBINATION_WITH_ALTERNATIVES,4,8,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80611,COMBINATION_WITH_ALTERNATIVES,4,8,False,True,3
track_a_v1.0:ICD9CM_TO_ICD10CM:80613,COMBINATION_WITH_ALTERNATIVES,4,8,False,True,2
track_a_v1.0:ICD9CM_TO_ICD10CM:80618,COMBINATION_WITH_ALTERNATIVES,3,6,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80619,COMBINATION_WITH_ALTERNATIVES,3,6,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80620,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80621,COMBINATION_WITH_ALTERNATIVES,2,4,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80622,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80623,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80625,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80626,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80627,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80629,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80632,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80633,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80634,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80638,COMBINATION_WITH_ALTERNATIVES,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:8064,COMBINATION_WITH_ALTERNATIVES,6,12,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:8065,COMBINATION_WITH_ALTERNATIVES,6,12,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80660,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80661,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80662,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80669,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80670,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80671,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80672,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80679,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:8068,COMBINATION,4,8,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:8069,COMBINATION,4,8,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:81318,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:81333,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:81347,COMBINATION,4,8,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:81354,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:82312,COMBINATION,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:82322,COMBINATION,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:82382,COMBINATION,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:82539,COMBINATION,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:8280,COMBINATION_WITH_ALTERNATIVES,3,7,False,False,6
track_a_v1.0:ICD9CM_TO_ICD10CM:8281,COMBINATION_WITH_ALTERNATIVES,3,7,False,False,6
track_a_v1.0:ICD9CM_TO_ICD10CM:83210,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:83219,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:83314,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
